Nom,Date de création,Modifié
stat. y proba. 1 // fundamentos de la probabilidad,"July 15, 2021 9:15 PM","January 16, 2023 1:07 AM"
stat. y proba. 2 // fundamentos de la estadística,"July 21, 2021 6:53 PM","January 16, 2023 1:07 AM"
stat. y proba. 3 // probabilidad aplicada,"July 14, 2021 3:55 PM","January 16, 2023 1:07 AM"
stat. y proba. 4 // variables aleatorias y distribuciones,"July 31, 2021 10:51 PM","January 16, 2023 1:07 AM"
stat. y proba. 5 // matemática para finanza cuantitativa,"August 16, 2021 6:58 PM","January 16, 2023 1:07 AM"
stat. y proba. 6 // estadística avanzada I,"November 1, 2021 10:21 PM","June 21, 2023 12:30 AM"
informática 1 // introducción a la redes neuronales,"May 26, 2022 6:34 AM","January 16, 2023 1:07 AM"
informática 2 // redes neuronales artificiales,"June 12, 2022 11:44 PM","November 8, 2024 10:25 AM"
informática 3 // aprendizaje por refuerzo,"June 23, 2022 11:58 PM","March 10, 2024 1:29 AM"
