Nom,Date de création,Modifié,Étiquettes
SCA.5: PROPORCIONES DE BEBIDAS,"January 15, 2019 1:49 PM","November 26, 2019 7:14 AM",
SCA.6: PASOS PARA PREPARAR BEBIDAS,"January 15, 2019 1:34 PM","July 22, 2019 4:49 AM",
SCA.4: MÉTODOS DE PREPARACIÓN (BÁSICO),"January 12, 2019 1:53 AM","November 26, 2019 10:37 PM",
SCA.3: HABILIDADES DEL BARISTA (INTERMEDIO),"December 18, 2018 5:37 PM","November 26, 2019 7:14 AM",
SCA.2: HABILIDADES DEL BARISTA (BÁSICO),"December 17, 2018 10:40 PM","November 26, 2019 10:17 PM",
SCA.1: INTRODUCCIÓN AL CAFÉ,"October 3, 2018 8:02 AM","November 26, 2019 6:01 AM",
