Type,Nom,Statut,Note sur 5,Auteur,Éditeur,Date de publication/de sortie,Lien,Résumé
Podcast,Le Panier,Prêt à commencer,,,CosaVostra,,https://lepanier.io/,
Revue académique,Intelligence artificielle - État de l’art et perspectives pour la France,Terminé,⭐️⭐️⭐️⭐️,Atawao Consulting,,"February 1, 2019",https://www.entreprises.gouv.fr/files/files/directions_services/etudes-et-statistiques/prospective/Intelligence_artificielle/2019-02-intelligence-artificielle-etat-de-l-art-et-perspectives.pdf,
Article,RGPD : de quoi parle-t-on ?,Prêt à commencer,,CNIL,,,https://www.cnil.fr/fr/rgpd-de-quoi-parle-t-on,
Article,Les 7 tendances marketing 2022 : décryptage et mise en application,Prêt à commencer,,Aline,,"January 3, 2022",https://www.thebboost.fr/tendances-marketing-2022/,Analyse des grandes tendances marketing 2022
Ressource pour essai,Portrait d’un être fictif : le cas de Jane Eyre,À lire,⭐️⭐️⭐️,Marika Guilbeault-Brissette,Le fil rouge,"March 30, 2019",https://chezlefilrouge.co/2019/03/30/portrait-dun-etre-fictif-le-cas-de-jane-eyre/,
Film,Kaamelott : Premier volet,Terminé,⭐️⭐️⭐️⭐️,,Alexandre Astier,,https://www.allocine.fr/film/fichefilm_gen_cfilm=248191.html,
