Nom,Auteur,Date de publication/de sortie,Lien,Note /5,Résumé,Statut,Type,Éditeur
RGPD : de quoi parle-t-on ?,CNIL,,https://www.cnil.fr/fr/rgpd-de-quoi-parle-t-on,,,Prêt à commencer,Article,
Les 7 tendances marketing 2022 : décryptage et mise en application,Aline,"January 3, 2022",https://www.thebboost.fr/tendances-marketing-2022/,,Analyse des grandes tendances marketing 2022,Prêt à commencer,Article,
Intelligence artificielle - État de l’art et perspectives pour la France,Atawao Consulting,"February 1, 2019",https://www.entreprises.gouv.fr/files/files/directions_services/etudes-et-statistiques/prospective/Intelligence_artificielle/2019-02-intelligence-artificielle-etat-de-l-art-et-perspectives.pdf,⭐️⭐️⭐️⭐️,,Terminé,Revue académique,
Portrait d’un être fictif : le cas de Jane Eyre,Marika Guilbeault-Brissette,"March 30, 2019",https://chezlefilrouge.co/2019/03/30/portrait-dun-etre-fictif-le-cas-de-jane-eyre/,⭐️⭐️⭐️,,À lire,Ressource pour essai,Le fil rouge
Le Panier,,,https://lepanier.io/,,,Prêt à commencer,Podcast,CosaVostra
Kaamelott : Premier volet,,,https://www.allocine.fr/film/fichefilm_gen_cfilm=248191.html,⭐️⭐️⭐️⭐️,,Terminé,Film,Alexandre Astier
