Nom,Date de création,Modifié,Étiquettes
01 // tests de $\chi^2$,"March 9, 2024 10:39 PM","April 19, 2025 2:09 PM",
02 // tests de normalité,"March 9, 2024 10:40 PM","April 20, 2025 1:19 AM",
03 // régression linéaire,"March 9, 2024 10:40 PM","May 9, 2025 11:32 AM",
04 // ANOVA,"March 10, 2024 1:25 AM","July 15, 2025 11:02 PM",
05 // tests non paramétriques,"May 6, 2025 9:19 PM","July 18, 2025 12:56 AM",
06 // dernières réflexions sur les probabilités,"January 9, 2025 3:18 PM","July 20, 2025 10:47 PM",
