Nom,Date de création,Modifié,Étiquettes
00 // notes de cours,"July 16, 2024 11:45 PM","July 16, 2024 11:45 PM",
01 // approximations des grands échantillons,"July 16, 2024 11:45 PM","July 16, 2024 11:45 PM",
02 // estimation paramétrique,"July 16, 2024 11:45 PM","December 28, 2024 2:13 AM",
03 // estimation non paramétrique et fonctionnelle,"July 16, 2024 11:45 PM","July 16, 2024 11:45 PM",
04 // tests d’hypothèses paramétriques,"July 16, 2024 11:45 PM","December 28, 2024 2:12 AM",
99 // le pdf,"July 16, 2024 11:45 PM","July 16, 2024 11:45 PM",
