Nom,Date de création,Modifié,Étiquettes
00 // travaux,"April 28, 2024 11:44 PM","April 28, 2024 11:48 PM",
01 // rappels sur régression linéaire,"April 28, 2024 11:18 PM","April 28, 2024 11:21 PM",
"02 // les MCO en profondeur ","April 28, 2024 11:19 PM","April 28, 2024 11:21 PM",
03 // endogénéité et variables instrumentales,"April 28, 2024 11:19 PM","May 2, 2024 12:13 AM",
04 // systèmes d’équations simultanées,"April 28, 2024 11:20 PM","April 28, 2024 11:21 PM",
99 // notes,"April 28, 2024 11:44 PM","April 28, 2024 11:44 PM",
