Nom,Date de création,Modifié,Étiquettes
00 // notes sur les contrôles,"October 21, 2022 5:30 PM","June 10, 2023 9:27 PM",
01 // rappels sur les espaces vectoriels,"September 11, 2022 12:12 AM","June 10, 2023 9:32 PM",
02 // rappels sur les matrices,"September 29, 2022 10:39 AM","June 7, 2023 12:25 PM",
03 // réduction d’endomorphismes,"September 29, 2022 10:39 AM","June 25, 2023 4:09 PM",
04 // critères de diagonalisabilité,"November 15, 2022 6:24 PM","January 31, 2025 8:46 AM",
05 // produit scalaire et algèbre bilinéaire,"November 15, 2022 7:59 PM","November 1, 2023 12:07 AM",
06 // autres décompositions,"December 12, 2022 1:40 PM","June 10, 2023 9:30 PM",
99 // le pdf,"June 9, 2023 5:08 PM","June 9, 2023 5:09 PM",
